Chocolate Chip Cookies,12,"1. Preheat the oven to 375°F (190°C). \n2. In a medium bowl, whisk together the flour, baking soda, and salt. \n3. In a separate large mixing bowl, cream together the butter, granulated sugar, and brown sugar until smooth. \n4. Beat in the eggs and vanilla extract. \n5. Gradually mix in the flour mixture until just combined. \n6. Stir in the chocolate chips. \n7. Drop rounded tablespoons of dough onto an ungreased baking sheet, spacing them about 2 inches apart. \n8. Bake for 8-10 minutes, or until the edges are lightly browned. \n9. Allow the cookies to cool on the baking sheet for a few minutes before transferring them to a wire rack to cool completely.",All-purpose flour,2 1/4,cups,Baking soda,1,tsp,Salt,02-Jan,tsp,"Butter, softened",1,cup,Granulated sugar,04-Mar,cup,"Brown sugar, packed",04-Mar,cup,Large eggs,2,,Vanilla extract,1,tsp,Semisweet chocolate chips,2,cups,,,,,,,,,,,,,,,,,,
Banana Bread,8,"1. Preheat the oven to 350°F (175°C) and grease a 9x5 inch loaf pan. \n2. In a large mixing bowl, mash the ripe bananas until smooth. \n3. Add melted butter and stir to combine. \n4. Mix in baking soda and salt. 5. Stir in sugar, beaten egg, and vanilla extract. 6. Mix in the flour until just combined. \n7. Pour the batter into the prepared loaf pan. \n8. Bake for 50-60 minutes or until a toothpick inserted into the center comes out clean. \n9. Allow the banana bread to cool in the pan for 10 minutes before transferring to a wire rack to cool completely.",Ripe bananas,3,," ""Butter"," melted""",03-Jan,cup,Baking soda,1,tsp,Salt,Pinch,,Granulated sugar,04-Mar,cup,"Large egg, beaten",1,,Vanilla extract,1,tsp,All-purpose flour,1 1/2,cups ,,,,,,,,,,,,,,,,,,,,
Blueberry Muffins,12,"1. Preheat the oven to 375°F (190°C) and line a muffin tin with paper liners. \n2. In a large mixing bowl, whisk together the flour, baking powder, and salt. \n3. In a separate mixing bowl, beat together the sugar, melted butter, egg, and vanilla extract until smooth. \n4. Mix in the milk until just combined. \n5. Gradually stir in the flour mixture until just combined. \n6. Gently fold in the blueberries. \n7. Spoon the batter into the prepared muffin tin, filling each cup about 2/3 full. \n8. Bake for 18-20 minutes or until a toothpick inserted into the center of a muffin comes out clean. \n9. Allow the muffins to cool in the tin for 5 minutes before removing them to a wire rack to cool completely.",All-purpose flour,2,cups,Baking powder,2 1/2,tsp,Salt,02-Jan,tsp,Granulated sugar,04-Mar,cup,"Butter, melted",02-Jan,cup,Large egg,1,,Vanilla extract,1,tsp,Milk,04-Mar,cup,Fresh blueberries,1 1/2,cups,,,,,,,,,,,,,,,,,,
Lemon Bars,9,"1. Preheat the oven to 350°F (175°C). Grease a 9x13 inch baking dish. \n2. In a medium bowl, whisk together 2 cups flour and 1/2 cup confectioners' sugar. Cut in 1 cup of butter until mixture is crumbly. Press mixture into the bottom of the prepared baking dish. \n3. Bake crust for 15-20 minutes, or until lightly golden. \n4. In a separate bowl, whisk together 4 eggs, 2 cups granulated sugar, 1/3 cup freshly squeezed lemon juice, and 1/4 cup flour. Pour mixture over the baked crust. \n5. Bake for an additional 20-25 minutes or until filling is set. \n6. Allow bars to cool completely in the pan on a wire rack. Dust with additional confectioners' sugar if desired.",All-purpose flour,2,cup,Confectioners' sugar,02-Jan,cup,Butter,1,cup,Eggs,4,,Granulated sugar,2,cups,Lemon juice,03-Jan,cup,All-purpose flour,04-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,
Snickerdoodle Cookies,18,"1. Preheat the oven to 375°F (190°C). Line a baking sheet with parchment paper. \n2. In a medium bowl, whisk together 2 3/4 cups flour, 2 tsp cream of tartar, 1 tsp baking soda, and 1/4 tsp salt. \n3. In a separate large bowl, beat together 1 cup softened butter, 1 1/2 cups granulated sugar, and 2 eggs until light and fluffy. \n4. Gradually stir in the flour mixture until well combined. \n5. In a small bowl, mix together 2 tbsp granulated sugar and 1 tsp ground cinnamon. \n6. Roll dough into 1 1/2 inch balls and then roll in the cinnamon-sugar mixture. Place the balls on the prepared baking sheet about 2 inches apart. \n7. Bake for 8-10 minutes or until the edges are lightly golden. \n8. Allow cookies to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.",All-purpose flour,2 3/4,cups,Cream of tartar,2,tsp,Baking soda,1,tsp,Salt,04-Jan,tsp,Butter,1,cup,Granulated sugar,1 1/2,cups,EEggs,2,,Granulated sugar,2,tbsp,Ground cinnamon,1,tsp,,,,,,,,,,,,,,,,,,
Apple Pie,8,"1. Preheat oven to 375°F (190°C).\n2. In a large bowl, mix flour and salt. Cut in shortening until particles are the size of small peas. Sprinkle with cold water, one tablespoon at a time, tossing with fork until all flour is moistened and pastry almost cleans side of bowl (1-2 teaspoons more water can be added if necessary).\n3. Gather pastry into a ball. Divide in half; shape into two flattened rounds on a lightly floured surface. Wrap in plastic wrap and refrigerate about 45 minutes or until dough is firm and cold, yet pliable. This allows the shortening to become slightly firm, which helps make the baked pastry more flaky. If refrigerated longer, let pastry soften slightly before rolling.\n4. Roll one pastry round into a circle 2 inches larger than an inverted pie plate (9-inch). Fold pastry into fourths; place in pie plate. Unfold and ease into plate, pressing firmly against bottom and side.\n5. Peel, core, and slice apples. Arrange in layers in pastry-lined pie plate. Sprinkle sugar and cinnamon over apples.\n6. Roll remaining pastry round. Fold into fourths and cut slits so steam can escape. Place over filling; unfold. Trim overhanging edge 1 inch from rim of plate. Fold and roll top edge under lower edge, pressing on rim to seal; flute as desired.\n7. Cover edge with 2- to 3-inch strip of aluminum foil to prevent excessive browning; remove foil during last 15 minutes of baking.\n8. Bake 40 to 50 minutes or until crust is brown and juice begins to bubble through slits in crust. Serve warm with ice cream or whipped cream, if desired.",All-purpose flour,2,cup,Salt,1,tsp,Shortening,03-Feb,cup,Cold water,5,tbsp,Apples,8,cups,Sugar,1,cup,Cinnamon,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,
Carrot Cake,8,"1. Preheat oven to 350F. Grease and flour two 9-inch round cake pans. \n2. In a large bowl, combine flour, sugar, baking powder, cinnamon, and salt. \n3. In a separate bowl, mix together eggs, oil, buttermilk, vanilla, and grated carrots. \n4. Pour the wet ingredients into the dry ingredients and stir until just combined. \n5. Fold in the chopped walnuts. \n6. Pour batter evenly into the prepared pans. \n7. Bake for 25-30 minutes, or until a toothpick inserted in the center comes out clean. \n8. Allow to cool before frosting. ",Flour,2,cups,Granulated sugar,2,cups,Baking powder,1,tbsp,Cinnamon,2,tsp,Salt,1,tsp,Eggs,4,,Vegetable oil,1 1/2,cups,Buttermilk,1 1/2,cups,Vanilla extract,2,tsp,Carrots,3,cups,Walnuts,1,cup,Cream cheese,8,oz,Butter,02-Jan,cup,Powdered sugar,4,cups,,,
Peanut Butter Cookies,24,"1. Preheat oven to 350°F (180°C).\n2. In a large bowl, cream together butter, white sugar, brown sugar, and peanut butter until smooth.\n3. Beat in eggs one at a time, then stir in vanilla.\n4. Combine flour, baking soda, and salt in a separate bowl, then gradually add to the creamed mixture.\n5. Roll the dough into small balls and place them 2 inches apart on an ungreased cookie sheet. Use a fork to make a crisscross pattern on top of each ball.\n6. Bake for 10-12 minutes until lightly browned.\n7. Allow the cookies to cool on the baking sheet for 5 minutes before transferring them to a wire rack to cool completely.",Butter,1,cup,White sugar,1,cup,Brown sugar,1,cup,Peanut butter,1,cup,All-purpose flour,2.5,cups,Baking soda,1.5,tsp,Salt,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,
Red Velvet Cupcakes,12,"1. Preheat oven to 350°F. Line muffin tin with cupcake liners. \n2. In a medium mixing bowl, sift together flour, cocoa powder, baking powder, baking soda, and salt. \n3. In a separate mixing bowl, cream together sugar and butter until light and fluffy. \n4. Beat in eggs, one at a time. Mix in vanilla extract, buttermilk, and red food coloring. \n5. Gradually mix in the dry ingredients until just combined. \n6. Spoon batter into cupcake liners until they are about 2/3 full. \n7. Bake for 18-20 minutes, or until a toothpick inserted into the center of a cupcake comes out clean. \n8. Let cool before frosting. ",Flour,2.5,cups,Cocoa powder,2,tbsp,Baking powder,1,tsp,Baking soda,1,tsp,Salt,1,tsp,Sugar,2,cups,Butter,1,cup,Eggs,2,large,Vanilla extract,2,tsp,Buttermilk,1,cup,Red food coloring,2,tbsp,Cream cheese,8,oz,Butter,02-Jan,cup,Powdered sugar,3,cups,Vanilla extract,1,tsp
Oatmeal Raisin Cookies,12,"1. Preheat oven to 350°F.\n2. Cream together butter and sugars until smooth.\n3. Beat in eggs and vanilla.\n4. In another bowl, whisk together flour, baking soda, cinnamon and salt.\n5. Stir this into the butter/sugar mixture.\n6. Stir in oats and raisins.\n7. Spoon drop cookie dough onto a parchment-lined baking sheet.\n8. Bake for 12-15 minutes until lightly golden.\n",Butter, 1/2," ""cup"""," ""White sugar""", 1/2," ""cup"""," ""Brown sugar""", 1/2," ""cup"""," ""Eggs""",2," """""," ""Vanilla extract""",1," ""tsp"""," ""All-purpose flour""",1," ""cup"""," ""Baking soda""", 1/2," ""tsp"""," ""Ground cinnamon""",1," ""tsp"""," ""Salt""", 1/4," ""tsp"""," ""Quick oats"""," ""1.5"""," ""cup"""," ""Raisins"""," ""1"""," ""cup""",,,,,,,,,,,,
